Utils:CAT
bash:Shell which is configured
dmenu:Dynamic menu for X
yaourt:AUR install tool
inxi:System information
screenfetch:Logo and system information
dfc:Device overview
htop:Process information
tlp:Fire and forget power manager
xterm:Terminal emulator
python3:Python interpreter
tree:Tree file view

Interface:CAT
x:Xorg packages (xorg-server xorg-xinit xorg-utils xorg-server-utils):startx
terminus-font:A great font for vconsole and xterm:0
xrandr:Setting screen resolution
sxhkd:X input event deamon
bspwm:Window manager
yabar:Status bar
feh:Set a desktop wallpaper

Development:CAT
vagrant:Virtual development environments
vim:Command line text editor
micro:Command line text editor
nano:Command line text editor
npm:Node Package Manager
